,Word,Senses,Glosa,PoS,SynsetPoS
53,célula_somática,1,as células somáticas prodúcense a partir de células preexistentes,n,glg-30-05430628-n
54,cromatina_sexual,1,a presenza ou ausencia de cromatina sexual nas células obtidas por amniocentese fai posible determinar o sexo dun feto,n,glg-30-05435855-n
55,xene,1,os xenes anteriormente eran denominados factores,n,glg-30-05436752-n
56,xene_dominante,1,o xene dominante para os ollos castaños,n,glg-30-05437600-n
57,alelo,1,algúns alelos son dominantes sobre os outros,n,glg-30-05437785-n
58,xenes_ligados,1,os xenes de Drosophila agrúpanse en catro xenes ligados,n,glg-30-05439100-n
59,xene_recesivo,1,o xene recesivo para os ollos azuis,n,glg-30-05440875-n
60,cromosoma,1,"os seres humanos teñen 22 pares de cromosomas, máis dous cromosomas sexuais",n,glg-30-05442131-n
61,cromosoma_Y,1,normalmente os homes teñen un cromosoma X e un cromosoma Y,n,glg-30-05443484-n
62,cromosoma_sexual,1,os mamíferos adoitan ter dous cromosomas sexuais,n,glg-30-05443651-n
63,centrómero,1,o centrómero é difícil de secuenciar,n,glg-30-05444324-n
64,orgánulo,1,o primeiro orgánulo en ser identificado foi o núcleo,n,glg-30-05445668-n
65,ribosoma,1,o ribosoma é o lugar de síntese proteica,n,glg-30-05446394-n
66,glóbulos_vermellos_sedimentados,1,"os glóbulos vermellos sedimentados son indicados para pacientes anémicos de modo severo, a fin de evitar sobrecargar o sistema circulatorio con moito líquido",n,glg-30-05450370-n
67,esperma,1,un espermatozoide é un núcleo rodeado por outros pequenos materiais celulares,n,glg-30-05457469-n
68,centro,1,"na maioría da xente, o centro da fala está situado no hemisferio esquerdo",n,glg-30-05463533-n
69,papila,1,as papilas da lingua,n,glg-30-05473735-n
70,sinapse,1,os impulsos nerviosos establecen unha sinapse por medio da acción de neurotransmisores,n,glg-30-05473928-n
71,lobo,1,lobo da orella,n,glg-30-05493303-n
72,introito,1,o introito de vaxina,n,glg-30-05512505-n
73,xenitais_femininos,1,en Galicia 'cona' é un termo vulgar para referirse aos órganos xenitais femininos,n,glg-30-05514410-n
74,vaxina,1,"a vaxina é elástica, o suficiente para permitir o paso dun feto",n,glg-30-05521111-n
75,testículo_retido,1,os testículos retidos teñen un risco alto de sufrir cancro,n,glg-30-05525391-n
76,tonsila_farínxea,1, a hipertrofia da tonsila farínxea chámase adenoide,n,glg-30-05529286-n
77,cego,1,o apéndice é unha ramificación do cego,n,glg-30-05536370-n
78,cabeza,1,sacou a cabeza para fóra da xanela,n,glg-30-05538625-n
79,coiro_cabeludo,1,querían coller o seu coiro cabeludo como un trofeo,n,glg-30-05539947-n
80,queixada,2,voulle bater na queixada,n,glg-30-05546298-n
81,pescozo,1,admiraba o seu pescozo longo e elegante,n,glg-30-05546540-n
82,pescozo,1,o cabalo venceu polo pescozo,n,glg-30-05546540-n
83,derivación,1,derivación arteriovenosa,n,glg-30-05548521-n
84,axila,1,chegaron ata as súas axilas na auga,n,glg-30-05549576-n
85,torso,1,"moveron os brazos, as pernas e o torso",n,glg-30-05549830-n
86,flanco,1,tivo dor nun flanco,n,glg-30-05551318-n
87,peito,0,batia no peito con rabia,n,glg-30-05553288-n
88,cintura,2,as mozas americanas cren que levar a cintura ao aire está de moda,n,glg-30-05555473-n
89,embigo,1,non debería amosar o embigo na televisión,n,glg-30-05556595-n
90,embigo,1,discutiron se Adán tiña ou non embigo,n,glg-30-05556595-n
91,embigo,1,tiña unha tatuaxe xusto enriba do embigo,n,glg-30-05556595-n
92,dorso,1,dorso do pé,n,glg-30-05557500-n
93,costas,2,as súas costas estaban lixeiramente bronceadas,n,glg-30-05558717-n
94,extremidade,2,É importante manter as extremidades quentes,n,glg-30-05559908-n
95,pata,1,quedou mal das patas pola febre,n,glg-30-05561707-n
96,patas,1,fun coas miñas patas,n,glg-30-05562015-n
97,colo,1,colleu a nena e sentouna no colo,n,glg-30-05562595-n
98,pé,1,os seus pés descalzos sobresaíanlle por debaixo dos pantalóns,n,glg-30-05563266-n
99,pé,1,blindado da cabeza aos pés,n,glg-30-05563266-n
100,man,1,tiña as mans dun cirurxián,n,glg-30-05564590-n
101,man,1,estendeu a súa man,n,glg-30-05564590-n
102,dereita,1,"el escribe coa man dereita, pero tira coa esquerda",n,glg-30-05565337-n
103,dereita,1,golpeouno con dereitos rápidos no corpo,n,glg-30-05565337-n
104,esquerda,1,gancho coa esquerda,n,glg-30-05565548-n
105,dedo,1,Os seus dedos eran longos e finos,n,glg-30-05566504-n
106,bóla,1,a bóla na base do polgar,n,glg-30-05576194-n
107,bóla,1,apoíabase na bóla dos pés,n,glg-30-05576194-n
108,óso_da_alegría,1,o óso da alegría non é o úmero,n,glg-30-05580662-n
109,cabeza,2,cabeza do úmero,n,glg-30-05595837-n
110,articulación_xiratoria,1,a articulación do radio e do cúbito no brazo é unha articulación xiratoria,n,glg-30-05597188-n
111,nariz,1,ten o nariz arrefriado,n,glg-30-05598147-n
112,ponte,2,os lentes deixaron marcas na ponte do seu nariz,n,glg-30-05599203-n
113,goio,1,o seu goio apareceu cando sorriu ,n,glg-30-05599874-n
114,cara,1,el lavou a cara,n,glg-30-05600637-n
115,rudimento,1,o divertículo de Meckel é o rudimento da membrana vitelina embrionaria,n,glg-30-05604022-n
116,parede,1,paredes do estómago,n,glg-30-05604254-n
117,humor,1,"os humores son o sangue,a flegma, a bile negra e bile amarela",n,glg-30-05604535-n
118,fuso,1,os cromosomas son distribuídos por fusos na mitose e meiose,n,glg-30-05605498-n
119,engurra,1,engurras do estómago,n,glg-30-05607271-n
120,telómero,1,os telómeros actúan como tapóns para que as extremidades dos cromosomas non se unan,n,glg-30-05610520-n
121,cadáver,1,o cadáver foi destinado para a disección,n,glg-30-05218119-n
122,química,1,a química do solo,n,glg-30-14580752-n
123,cadáver,1,o asasino confesou que guindou o cadáver ao río,n,glg-30-05218119-n
124,material,1,o trigo é o material que se emprega para facer o pan,n,glg-30-14580897-n
125,impureza,1,hai impurezas na auga,n,glg-30-14583670-n
126,aliaxe,1,o latón é unha aliaxe de cinc e cobre,n,glg-30-14586769-n
127,solución,1,usou unha solución de peróxido e auga,n,glg-30-14589223-n
128,acilo,1,un exemplo de grupo acilo é o grupo acetilo,n,glg-30-14594708-n
129,poliestireno,1,o poliestireno expandido parécese a unha escuma ríxida branca e úsase coma envase ou o illamento,n,glg-30-14595711-n
130,aminoácido,1,as proteínas están compostas por diversas proporcións de preto de 20 aminoácidos comúns,n,glg-30-14601829-n
131,ácido_hidriódico,1,o ácido hidriódico é un ácido forte,n,glg-30-14612972-n
132,adulterante,1,é necesario eliminar os adulterantes antes de usalo,n,glg-30-14616939-n
133,base,2,as bases inclúen óxidos e hidróxidos de metais e amoníacos,n,glg-30-14618253-n
134,metal_base,1,"o chumbo, o ferro, o cobre, o estaño e o cinc son os metais bases",n,glg-30-14618674-n
135,atrazina,1,pénsase que a atrazina causa cancro e está prohibida nalgúns países europeos,n,glg-30-14629772-n
136,chumbo,1,os nenos estaban xogando con soldadiños de chumbo,n,glg-30-14643467-n
137,emulsión,1,unha emulsión de aceite en auga,n,glg-30-14674584-n
138,lume,2,no alto do monte había lume,n,glg-30-14686186-n
139,lume,2,no inverno acendemos o lume na lareira,n,glg-30-14686186-n
140,gasolina_con_chumbo,1,a combustión de gasolina con chumbo libera chumbo no aire onde pode causar intoxicación por chumbo,n,glg-30-14687261-n
141,ricina,1,un miligramo de ricina pode matar un adulto,n,glg-30-14696463-n
142,rocha,1,a montaña é unha rocha sólida,n,glg-30-14696793-n
143,xema,1,os rubís son xemas,n,glg-30-14699752-n
144,apresto,1,o apresto dá corpo a un tecido,n,glg-30-14706372-n
145,acrilamida,1,alegaron que a acrilamida é producida cando certos carbohidratos son asados ou fritos a altas temperaturas,n,glg-30-14711364-n
146,proteína,1,unha dieta rica en proteínas,n,glg-30-14728724-n
147,filagrina,1,o obxectivo específico da resposta inmune na artrite reumatoide é a filagrina,n,glg-30-14734164-n
148,pelica,2,leva unhas luvas de pelica,n,glg-30-14762846-n
149,pel_de_foca,1,tiña un abrigo de pel de foca,n,glg-30-14766040-n
150,garavatos,1,fixeron unha fogueira con garavatos,n,glg-30-14785197-n
151,graxa_animal,1,a graxa animal é rica en ácidos graxos saturados,n,glg-30-14787520-n
152,lapis,1,o medio favorito do artista é o lapis,n,glg-30-14796748-n
153,cemento,1,estaba de pé sobre o cemento gris a carón da piscina,n,glg-30-14804487-n
154,alomorfo,1,o carbonato de calcio atópase nos alomorfos da calcita e da aragonita,n,glg-30-14819856-n
155,refrixerante,1,engadiulle máis refrixerante ao radiador do automóbil,n,glg-30-14822141-n
156,refrixerante,1,o reactor atómico usa un gas refrixerante,n,glg-30-14822141-n
157,refrixerante,1,os operadores de torno usan unha emulsión de aceite e auga como refrixerante para o instrumento de corte,n,glg-30-14822141-n
158,exón,1,os exóns son intercalados cos intróns,n,glg-30-14830992-n
159,DNA_non_codificante,1,a maior parte do xenoma está composto de DNA non codificante,n,glg-30-14831338-n
160,ácido_ribonucleico,1,o ácido ribonucleico é o material xenético dalgúns virus,n,glg-30-14832193-n
161,orballo,1,de mañá a herba estaba mollada co orballo,n,glg-30-14834132-n
162,po_de_xiz,1,o po de xiz cubrían as mans do profesor,n,glg-30-14839698-n
163,po,1,o moble estaba cuberto con po,n,glg-30-14839846-n
164,po,2,os astrónomos din que o espazo baleiro entre os planetas realmente contén cantidades medibles de po,n,glg-30-14840092-n
165,elemento,2,os alquimistas crían que existían catro elementos,n,glg-30-14840755-n
166,aire,1,a contaminación do aire,n,glg-30-14841267-n
167,aire,1,hai un cheiro a produtos químicos no aire,n,glg-30-14841267-n
168,aire,1,abride unha xanela e deixade entrar algo de aire,n,glg-30-14841267-n
169,aire,1,necesito un pouco de aire fresco,n,glg-30-14841267-n
170,alento,1,o seu alento agre desagradoume,n,glg-30-14841770-n
171,aire_comprimido,1,o aire comprimido úsase frecuentemente para máquinas potentes,n,glg-30-14842378-n
172,terra,2,cavaron a terra fóra da igrexa,n,glg-30-14842992-n
173,acondicionador_do_solo,1,o xeso pode ser utilizado como un acondicionador do solo,n,glg-30-14845383-n
174,electrólito,1,unha boa cantidade e distribución de electrólitos no corpo é esencial para a saúde,n,glg-30-14847929-n
175,urina,1,había sangue na súa urina,n,glg-30-14855724-n
176,residuos,1,recollen os residuos unha vez por semana,n,glg-30-14856263-n
177,chatarra,1,finalmente vendeu o coche para a chatarra,n,glg-30-14857737-n
178,augas_residuais,2,realizou o baleirado das augas residuais,n,glg-30-14858451-n
179,graxa,1,a pizza ten moita graxa,n,glg-30-14864360-n
180,recheo,1,non foi suficiente recheo para a gabia,n,glg-30-14868243-n
181,preparado,1,o médico prescribiu un preparado comercial do medicamento,n,glg-30-14873641-n
182,radical_libre,1,no corpo os radicais libres son partículas de alta enerxía que rebotan incontroladamente e danan as células,n,glg-30-14874196-n
183,combustible,1,durante os meses de inverno é necesario máis combustible,n,glg-30-14875077-n
184,combustible,1,desenvolveron combustibles alternativos para avións,n,glg-30-14875077-n
185,ácido_fúlvico,1,mediron o ácido fúlvico fluvial,n,glg-30-14875878-n
186,glicérido,1,as graxas frescas conteñen glicéridos de ácidos graxos e moi poucos ácidos libres,n,glg-30-14885088-n
187,medio,4,o medio de disolución chámase un solvente,n,glg-30-14899152-n
188,cicuta,1,Sócrates rexeitou fuxir e morreu por beber cicuta,n,glg-30-14906085-n
189,homoxeneizado,1,homoxeneizados de fígado,n,glg-30-14908422-n
190,ácido_húmico,1,a vida media dos ácidos húmicos é medido en séculos,n,glg-30-14909120-n
191,xeo,1,os galegos queren xeo nas bebidas,n,glg-30-14915184-n
192,impregnación,1,"a impregnación, calquera que fose, virou a pedra de cor azul",n,glg-30-14916796-n
193,lactosa,1,"o leite de vaca contén preto dun 4,7% de lactosa",n,glg-30-14929462-n
194,licor,1,licores de residuos,n,glg-30-14941230-n
195,estela,2,cando o barco foi golpeado saltaron estelas,n,glg-30-14949075-n
196,lama,2,abríronse paso pola lama,n,glg-30-14956523-n
197,gas_VX,1,o gas VX é unha desas cousas que non se debería inventar,n,glg-30-14960963-n
198,xornal,1,eles usan fardos de xornal todos os días,n,glg-30-14961722-n
199,sistema,1,nun sistema estático o petróleo non pode ser substituído por auga nunha superficie,n,glg-30-14981183-n
200,sistema,1, sistema que xera peróxido de hidróxeno,n,glg-30-14981183-n
201,produto,1,un produto de cal e ácido nítrico,n,glg-30-14997699-n
202,disolvente,1,disolvente de pintura,n,glg-30-15003969-n
203,disolvente,1,disolvente de ferruxe,n,glg-30-15003969-n
204,fibra,1,as fibras varían moito na súa lonxitude,n,glg-30-15018688-n
205,factor_intrínseco,1,a ausencia do factor intrínseco pode causar anemia perniciosa,n,glg-30-15023720-n
206,hemoglobina,1,os peixes teñen a hemoglobina máis simple que os mamíferos,n,glg-30-15024240-n
207,oxihemoglobina,1,a oxihemoglobina transporta o osíxeno para as células do corpo,n,glg-30-15024773-n
208,disolvente,2,o disolvente non cambia o seu estado na formación dunha solución,n,glg-30-15047313-n
209,vertedura,1,as verteduras do Prestige foron moi daniñas,n,glg-30-15049594-n
210,aerosol_de_pementa,1,a policía usou un aerosol de pementa para asoballar a multitude,n,glg-30-15057558-n
211,anión_superóxido,2,a meirande parte da O2- que soporta a respiración celular é reducida ao anión superóxido O2-,n,glg-30-15064729-n
212,superóxido_dismutasa,1,os radicais libres de osíxeno adoitan ser eliminados nos nosos corpos polos enzimas superóxido dismutasa,n,glg-30-15065025-n
213,espesante,1,o amidón úsase na cociña como espesante,n,glg-30-15069820-n
214,turquesa,1,o azul turquesa é valorado como unha pedra semipreciosa,n,glg-30-15082198-n
215,tiramina,1,os pacientes que toman inhibidores da monoaminooxidaxa (IMAO) deben evitar alimentos que conteñan tiramina,n,glg-30-15082524-n
216,volátil,1,quentouse para evaporar os volátiles,n,glg-30-15093735-n
217,leña,1,recolleron e cortaron a súa propia leña,n,glg-30-15100644-n
218,nó,1,a serra torceuse cando bateu nun nó,n,glg-30-15102712-n
219,guata,1,usou unha guata de algodón para limpar o balcón,n,glg-30-15112702-n
220,humor,1,"os humores son o sangue, a flegma, a bile negra e bile amarela",n,glg-30-05604535-n
221,confiar,4,ela é unha persoa na que realmente se pode confiar nos momentos difíciles,v,glg-30-02664017-v
222,confiar,4,pode confiar na súa discreción,v,glg-30-02664017-v
223,capaz,1,é capaz de nadar,a,glg-30-00001740-a
224,capaz,1,foi capaz de programar o seu ordenador,a,glg-30-00001740-a
225,capaz,1,finalmente fomos capaces de mercar un coche,a,glg-30-00001740-a
226,capaz,1,foi capaz de obter unha subvención para o proxecto,a,glg-30-00001740-a
227,incapaz,1,é incapaz de chegar á cidade sen coche,a,glg-30-00002098-a
228,incapaz,1,foi incapaz de obter fondos,a,glg-30-00002098-a
229,abaxial,3,a superficie abaxial dunha folla é a parte inferior ou lateral máis afastada do tronco,a,glg-30-00002312-a
230,adaxial,1,a parte superior da folla é coñecida como a superficie adaxial,a,glg-30-00002527-a
231,nacente,1,os fillos nacentes,a,glg-30-00003356-a
232,nacente,1,unha revolta nacente,a,glg-30-00003356-a
233,moribundo,1,un home moribundo,a,glg-30-00003939-a
234,moribundo,1,un lume moribundo,a,glg-30-00003939-a
235,abreviado,1,unha versión abreviada,a,glg-30-00004413-a
236,integral,1,unha novela integral,a,glg-30-00004980-a
237,absoluto,1,fidelidade absoluta,a,glg-30-00005205-a
238,absoluto,1,silencio absoluto,a,glg-30-00005205-a
239,absoluto,1,verdade absoluta,a,glg-30-00005205-a
240,absoluto,1,alcol absoluto,a,glg-30-00005205-a
241,relativo,2,un relativo descoñecido,a,glg-30-00006032-a
242,absorbente,3,absorbente como unha esponxa,a,glg-30-00006336-a
243,abstemio,1,os praceres da mesa non lle fan moito aquel a un que é naturalmente abstemio (John Galsworthy),a,glg-30-00009046-a
244,lambón,1,as mulleres fartas e os seus maridos lambóns,a,glg-30-00009978-a
245,abstracto,1,as palabras abstractas como 'verdade' e 'xustiza',a,glg-30-00011757-a
246,concreto,1,os obxectos concretos como as árbores,a,glg-30-00013160-a
247,abundante,1,unha fonte abundante de auga,a,glg-30-00013887-a
248,escaso,1,os vexetais frescos foron escasos durante a seca,a,glg-30-00016756-a
249,maltratado,1,unha muller maltratada,a,glg-30-00017352-a
250,aceptable,1,os niveis aceptables de radiación,a,glg-30-00017782-a
251,aceptable,1,as actuacións varían entre aceptables a excelentes,a,glg-30-00017782-a
252,inaceptable,1,unha palabra inaceptable nunha sociedade civilizada,a,glg-30-00018584-a
253,inaceptable,1,unha violación inaceptable da liberdade persoal,a,glg-30-00018584-a
254,accesible,1,unha cidade accesible por tren,a,glg-30-00019131-a
255,flexible,3,o director sempre foi flexible cos visitantes,a,glg-30-00020787-a
256,flexible,3,fixo un esforzo especial para ser flexible,a,glg-30-00020787-a
257,preciso,1,a contabilidade era precisa,a,glg-30-00021766-a
258,impreciso,1,o termómetro é impreciso,a,glg-30-00023383-a
259,acostumado,1,acostumados a facer o seu propio traballo,a,glg-30-00024417-a
260,alcalino,1,os solos alcalinos proceden do xiz ou da calcaria,a,glg-30-00025728-a
261,recoñecido,1,o líder recoñecido da comunidade,a,glg-30-00027247-a
262,recoñecido,1,unha muller de logros recoñecidos,a,glg-30-00027247-a
263,cobizoso,1,unha mente cobizosa,a,glg-30-00029343-a
264,cobizoso,1,unha sociedade cobizosa na que o desexo polas cousas materiais nunca parece estar satisfeito,a,glg-30-00029343-a
265,activo,5,un neno activo,a,glg-30-00031974-a
266,activo,5,activo como unha gacela,a,glg-30-00031974-a
267,activo,5,un home activo é un home de acción,a,glg-30-00031974-a
268,inactivo,9,unha doenza obrigouno a vivir unha vida inactiva,a,glg-30-00033574-a
269,inactivo,9,soñadora e inactiva por natureza,a,glg-30-00033574-a
270,activo,12,servizo activo,a,glg-30-00034710-a
271,activo,12,"aínda que xa pasou a idade de xubilación, aínda está activo na súa profesión",a,glg-30-00034710-a
272,inactivo,8,reserva inactiva,a,glg-30-00035074-a
273,inactivo,8,membro inactivo,a,glg-30-00035074-a
274,activo,7,un porto activo,a,glg-30-00035465-a
275,activo,7,un mercado de títulos activos,a,glg-30-00035465-a
276,activo,7,unha conta de activo,a,glg-30-00035465-a
277,inactivo,5,unha mina inactiva,a,glg-30-00036481-a
278,inactivo,5,versións inactivas,a,glg-30-00036481-a
279,inactivo,5,máquinas inactivas,a,glg-30-00036481-a
280,activo,2,tuberculose activa,a,glg-30-00037457-a
281,activo,3,un director que ten un interese activo en operacións corporativas,a,glg-30-00038750-a
282,activo,3,un antagonismo activo,a,glg-30-00038750-a
283,activo,3,era activa destacando as súas reivindicacións,a,glg-30-00038750-a
284,pasivo,3,gran parte da benevolencia da orde pasiva pode atribuírse a unha falta de inclinación a infrinxir dor a si mesmo (George Meredith),a,glg-30-00039592-a
285,activo,11,os volcáns activos,a,glg-30-00040325-a
286,extinguido,1,un volcán extinguido,a,glg-30-00041051-a
287,activo,9,Hemingway favorece as construcións activas,a,glg-30-00042037-a
288,pasivo,2,os académicos parecen favorecer as cláusulas pasivas,a,glg-30-00042228-a
289,activo,6,un ingrediente activo,a,glg-30-00042457-a
290,real,2,a temperatura prevista e a temperatura real eran bastante diferentes,a,glg-30-00043765-a
291,potencial,2,un problema potencial,a,glg-30-00044353-a
292,agudo,1,apendicite aguda,a,glg-30-00044760-a
293,agudo,1,a fase aguda da enfermidade,a,glg-30-00044760-a
294,agudo,1,enfermos agudos,a,glg-30-00044760-a
295,crónico,1,indixestión crónica,a,glg-30-00045123-a
296,crónico,1,unha escaseza crónica de fondos,a,glg-30-00045123-a
297,crónico,1,un inválido crónico ,a,glg-30-00045123-a
298,adaptativo,1,a cor adaptativo dun camaleón,a,glg-30-00046109-a
299,viciado,1,está viciada co chocolate,a,glg-30-00047029-a
300,viciante,1,comportamento viciante,a,glg-30-00047786-a
301,non_adictivo,1,durante anos as empresas de tabaco dixeron que o tabaco é non adictivo,a,glg-30-00047954-a
302,subtractivo,1,unha corrección subtractiva,a,glg-30-00050083-a
303,dirixido,1,eu tiro todos os correos dirixidos aos «residentes»,a,glg-30-00050641-a
304,adecuado,5,a súa formación foi adecuada,a,glg-30-00051045-a
305,adecuado,5,foi adecuada para o traballo,a,glg-30-00051045-a
306,inadecuado,5,formación inadecuada,a,glg-30-00051696-a
307,inadecuado,5,o persoal era inadecuado,a,glg-30-00051696-a
308,procesual,1,dereito procesual,a,glg-30-00055340-a
309,esencial,2,dereito esencial,a,glg-30-00055539-a
310,adoptable,1,unha escaseza de bebés adoptables,a,glg-30-00055765-a
311,anticolinérxico,1,drogas anticolinérxicas,a,glg-30-00061088-a
312,hábil,1,un pianista excepcionalmente hábil,a,glg-30-00061262-a
313,hábil,1,as súas respostas hábiles para provocar gañaron moitos seguidores,a,glg-30-00061262-a
314,torpe,1,un movemento torpe da súa man fixo que o coche virase bruscamente,a,glg-30-00063277-a
315,vantaxoso,1,socialmente vantaxosa para entreter moitas veces,a,glg-30-00064479-a
316,aventureiro,1,pioneiros aventureiros,a,glg-30-00065791-a
317,aventureiro,1,os riscos e os beneficios dunha economía de aventureiros,a,glg-30-00065791-a
318,aconsellable,1,"esta acción non é necesaria, nin aconsellable",a,glg-30-00067038-a
319,desaconsellable,1,correr sobre o xeo é desaconsellable,a,glg-30-00067767-a
320,mal_aconsellado,1,esforzos mal aconsellado,a,glg-30-00068278-a
321,aeróbico,2,fermentación aeróbica,a,glg-30-00068566-a
322,anaeróbico,1,bacterias anaeróbicas,a,glg-30-00069060-a
323,aeróbico,1,danza aeróbica,a,glg-30-00069217-a
324,aeróbico,1,correr é moi aeróbico,a,glg-30-00069217-a
325,anaeróbico,2,os exercicios isométricos son anaeróbicos,a,glg-30-00069427-a
326,estético,1,as facultades estéticas,a,glg-30-00069531-a
327,estético,1,unha persoa estética,a,glg-30-00069531-a
328,estético,1,un sentimento estético,a,glg-30-00069531-a
329,estético,1,as ilustracións que fixeron do libro un éxito estético,a,glg-30-00069531-a
330,non_estético,1,non estético e completamente non intelectual,a,glg-30-00070583-a
331,non_estético,1,mirou con aqueles lentes non estéticos,a,glg-30-00070583-a
332,non_afectado,1,totalmente non afectado por cada un dos escritos dos outros,a,glg-30-00071992-a
333,non_afectado,1,as fibras permaneceron aparentemente non afectadas polo tratamento,a,glg-30-00071992-a
334,receptivo,1,raramente era receptiva ás miñas suxestións,a,glg-30-00075952-a
335,intolerante,1,as actitudes intolerantes ou hipercríticas dos pais decepcionados,a,glg-30-00076341-a
336,encallado,1,un navío encallado no mar,a,glg-30-00077449-a
337,encallado,1,un barco encallado na praia que agarda á marea para que o levante,a,glg-30-00077449-a
338,medroso,1,mesmo medroso de virar a cabeza,a,glg-30-00077645-a
339,medroso,1,medroso de facer preguntas,a,glg-30-00077645-a
340,agresivo,1,un empresario agresivo,a,glg-30-00082241-a
341,agresivo,1,un xogador de baloncesto agresivo,a,glg-30-00082241-a
342,agresivo,1,el era agresivo e arrogante; construtivo nas súas conviccións,a,glg-30-00082241-a
343,agresivo,1,os motores agresivos,a,glg-30-00082241-a
344,axitado,4,os pais axitados,a,glg-30-00085264-a
345,axitado,5,a mestura axitada de escuma e burbullas,a,glg-30-00087354-a
346,agradable,1,o plan é agradable para ti?,a,glg-30-00089051-a
